job_name,geo_type,N,k,alpha,R_min,arc_length,Fmax,k_stiff,U_energy,sigma_max,n_frames,status
Job-example_abaqus_input,jigsaw,10,3,0.33,0.41675,17.60057,2197442364.0,8335508425.7912,751199505.912503,58212325581.8622,11,completed
Job-freeform_00000_N8_k4,freeform,8,4,0.28777568795041,0.11167,21.39002,,,,,,failed
Job-freeform_00001_N14_k2,freeform,14,2,0.21883546957753,0.14474,14.68125,6301771.0859,35190513.3623,1169438.307375,3740156.2738,11,completed
Job-freeform_00002_N11_k3,freeform,11,3,0.38535299776972,0.14775,21.10415,1171767835.8438,3016660228.1733,333183843.772866,10258744810.1904,14,completed
Job-freeform_00003_N12_k3,freeform,12,3,0.288682839765466,0.16053,15.18449,20611510.4531,6577839.4691,20216.066266,1994.6029,21,completed
Job-freeform_00004_N11_k2,freeform,11,2,0.310916957403167,0.22841,16.29041,22038787.1875,152192811.4286,4413998.500454,2464275036.7407,24,completed
Job-freeform_00000_N8_k4,freeform,8,4,0.28777568795041,0.11167,21.39002,,,,,,failed
Job-freeform_00000_N8_k4,freeform,8,4,0.28777568795041,0.11167,21.39002,,,,,,failed
Job-freeform_00000_N8_k4,freeform,8,4,0.28777568795041,0.11167,21.39002,,,,,,failed
Job-freeform_00194_N10_k2,freeform,10,2,0.208189392057144,0.60592,12.28125,4943805.478,150616.1276,247981.49172,131.4872,11,completed
Job-freeform_00195_N11_k4,freeform,11,4,0.297939948363381,0.30831,16.27777,12944238.1562,11029549.4814,329790.815193,1180029148.1237,27,completed
Job-freeform_00196_N9_k3,freeform,9,3,0.358736430111995,0.22377,13.62811,22685475.7812,7586254.7972,22559.951163,1301.634,21,completed
Job-freeform_00197_N8_k2,freeform,8,2,0.360411957397145,0.17802,15.35356,692704.291,0.0001,34635.215066,1678.6415,11,completed
Job-freeform_00198_N9_k4,freeform,9,4,0.364516618123486,0.22063,24.64858,,,,,,failed
Job-freeform_00199_N8_k2,freeform,8,2,0.20973969446277,0.42258,12.79243,6118565.0312,21676095.6926,832727.775059,2151311.4394,11,completed
Job-irregular_00000_N14_k2,irregular,14,2,0.21883546957753,0.16905,15.84033,41892820.0625,256732623.0494,15782542.464234,5641744071.9619,11,completed
Job-irregular_00001_N11_k3,irregular,11,3,0.38535299776972,0.23371,18.65414,,,,,,failed
Job-irregular_00002_N12_k3,irregular,12,3,0.288682839765466,0.23734,17.73537,26869850.7812,40240192.8057,82723.928516,43381.3767,19,completed
Job-irregular_00003_N11_k2,irregular,11,2,0.310916957403167,0.25004,14.66502,0.0,0.0,0.0,0.0,1,completed
Job-irregular_00004_N8_k4,irregular,8,4,0.326332879824413,0.55361,11.63789,19279745.1562,6063674.854,18847.470703,1200.9858,21,completed
Job-irregular_00005_N9_k4,irregular,9,4,0.270905193625974,0.37951,13.40428,8940263.7314,1703550.4029,396747.06354,215535.2349,12,completed
Job-jigsaw_00296_N14_k2,jigsaw,14,2,0.301633471162575,0.48693,17.61031,2732623668.0,8553378012.5447,853106653.077306,58073958081.0244,11,completed
Job-jigsaw_00297_N9_k3,jigsaw,9,3,0.266618832202128,0.42623,17.46224,2729082936.0,7765764154.2811,804485585.641659,86217455580.4073,11,completed
Job-jigsaw_00298_N11_k3,jigsaw,11,3,0.368240741242991,0.41608,18.98404,2883477106.0,9610189592.232,920562271.98005,35509568858.6073,12,completed
Job-jigsaw_00299_N11_k2,jigsaw,11,2,0.264498088193546,0.49255,17.06393,2330242950.0,7970013591.2375,759249910.776933,64305942686.7273,11,completed
Job-sinusoidal_00000_N8_k4,sinusoidal,8,4,0.28777568795041,1.84077,11.8031,11564737.8076,0.0048,578236.899021,1977.7227,11,completed
Job-sinusoidal_00001_N14_k2,sinusoidal,14,2,0.21883546957753,0.33024,16.8493,9870157.0156,21218479.3801,2834.194337,233.5807,24,completed
Job-sinusoidal_00002_N11_k4,sinusoidal,11,4,0.352227940398071,0.57741,18.6538,8613724.3958,538805.6045,433380.25441,171541.5947,11,completed
